video_id,comment_id,author,comment_text,like_count,published_at,updated_at,reply_count,date,year,month,day,hour,clean_text,sentiment
3cYi5t9UvzY,Ugx-6fTq27Vb36T-RGB4AaABAg,unknown_author,*Mọi người muốn tập 2 sẽ thực hiện ở đâu? Và muốn mời ai tham gia thì cùng bình luận để mấy thằng cu nhà mình biết mà mời nhé* 😂❤,2614,2022-11-17 04:17:05+00:00,2022-11-17 04:17:05+00:00,310,2022-11-17,2022,11,17,4,mọi người muốn tập 2 sẽ thực hiện ở đâu và muốn mời ai tham gia thì cùng bình luận để mấy thằng cu nhà mình biết mà mời nhé,neutral
3cYi5t9UvzY,Ugwo58a5RII-WYqEOoF4AaABAg,@huandinh675,Èo bắt ăn hết phở cả nước 4 tô đc có 1 triệu vãi,0,2026-04-15 03:58:11+00:00,2026-04-15 03:58:11+00:00,0,2026-04-15,2026,4,15,3,èo bắt ăn hết phở cả nước 4 tô đc có 1 triệu vãi,neutral
3cYi5t9UvzY,Ugz_O0Vbu0NlzD-8JTZ4AaABAg,@gaor0bl0x-13th,Omg k ngờ có a tt veres lun,0,2025-12-02 08:04:04+00:00,2025-12-02 08:04:04+00:00,0,2025-12-02,2025,12,2,8,omg k ngờ có a tt veres lun,neutral
3cYi5t9UvzY,UgypZhJbKz8b9UlZmvR4AaABAg,@manswiu,anh võ sĩ nhìn hiền dễ mến ghê,0,2025-11-06 05:39:49+00:00,2025-11-06 05:39:49+00:00,0,2025-11-06,2025,11,6,5,anh võ sĩ nhìn hiền dễ mến ghê,neutral
3cYi5t9UvzY,UgwjYUqa-IqIbiCQ1mR4AaABAg,@VănCườngNguyễn-t7y,Nay mới xem nhưng.... ân ???,0,2025-11-05 20:11:25+00:00,2025-11-05 20:11:25+00:00,0,2025-11-05,2025,11,5,20,nay mới xem nhưng ân,neutral
3cYi5t9UvzY,Ugwudlvnevrd1fnU7BN4AaABAg,@VănLiêmLê-x6b,Em thấy vòng chung kết sẽ có chiến thuật là ăn mấy món nặng nhất và ko được uống nước nếu uống nước thì sẽ ko ăn lớp bánh ở ngoài vì nó sẽ nở trong bụng làm mình no hơn  chúc mừng đội anh Bảo đã dành chiến thắng🎉,1,2025-10-26 12:05:48+00:00,2025-10-26 12:05:48+00:00,0,2025-10-26,2025,10,26,12,em thấy vòng chung kết sẽ có chiến thuật là ăn mấy món nặng nhất và ko được uống nước nếu uống nước thì sẽ ko ăn lớp bánh ở ngoài vì nó sẽ nở trong bụng làm mình no hơn chúc mừng đội anh bảo đã dành chiến thắng,positive
3cYi5t9UvzY,UgwiuCqwneYQpm_wWgd4AaABAg,@xuantruong2650,vê lút,0,2025-07-31 01:04:54+00:00,2025-07-31 01:04:54+00:00,0,2025-07-31,2025,7,31,1,vê lút,neutral
3cYi5t9UvzY,UgxECGaQuq4v-iN1ic14AaABAg,@ThaiNguyễn-l4g7c,xem lai thay tk AN no ngu tra gia lao ditttt meeee no,0,2025-07-17 06:23:01+00:00,2025-07-17 06:23:01+00:00,0,2025-07-17,2025,7,17,6,xem lai thay tk an no ngu tra gia lao ditttt meeee no,neutral
3cYi5t9UvzY,UgwjtP26kG7HZSzt0E94AaABAg,@SơnTrần-w4y,Sếp lâm khúc này thấy ốm nhỉ 😂,0,2025-07-13 12:53:13+00:00,2025-07-13 12:53:13+00:00,0,2025-07-13,2025,7,13,12,sếp lâm khúc này thấy ốm nhỉ,neutral
3cYi5t9UvzY,UgweubeoCBe10c3icbt4AaABAg,@HAONHIENHUA-h9e,Rất hayyyyyyy😊😊,0,2025-06-04 12:50:46+00:00,2025-06-04 12:50:46+00:00,0,2025-06-04,2025,6,4,12,rất hayyyyyyy,neutral
3cYi5t9UvzY,Ugyxu6_9KmXmal7aNHB4AaABAg,@ngocquyen9b197,tổng thống veres 🤣,0,2025-02-28 11:45:13+00:00,2025-02-28 11:45:13+00:00,0,2025-02-28,2025,2,28,11,tổng thống veres,neutral
3cYi5t9UvzY,UgyPk4MtjWw_VDqlVSh4AaABAg,@quactoannguyen3958,tổng thống veres kìa,0,2025-02-12 03:06:44+00:00,2025-02-12 03:06:44+00:00,0,2025-02-12,2025,2,12,3,tổng thống veres kìa,neutral
3cYi5t9UvzY,UgxY4z3VUtvklAgPoH14AaABAg,@truonghieu46207,"Lẽ ra phải bắt ăn hết vòng nào cũng phải tham gia, tại vì như v mới công bằng 😅",0,2025-01-08 04:56:44+00:00,2025-01-08 04:56:44+00:00,0,2025-01-08,2025,1,8,4,lẽ ra phải bắt ăn hết vòng nào cũng phải tham gia tại vì như v mới công bằng,neutral
3cYi5t9UvzY,UgwApDVSwkFI8tWodaN4AaABAg,@mienguiga3179,"mới đấy 2 năm rồi á, nhanh thật ý",0,2024-12-14 14:54:04+00:00,2024-12-14 14:54:04+00:00,0,2024-12-14,2024,12,14,14,mới đấy 2 năm rồi á nhanh thật ý,neutral
3cYi5t9UvzY,UgzF5Ep5J0DfjcQ0u194AaABAg,@Phanhoàngđạilong,Thấy th tài tỏi t ghét quá đi bây,0,2024-11-24 06:28:52+00:00,2024-11-24 06:28:52+00:00,0,2024-11-24,2024,11,24,6,thấy th tài tỏi t ghét quá đi bây,negative
3cYi5t9UvzY,Ugz6FbtARAVItvXEZeN4AaABAg,@Cuongxomla,tuyệt vòi chúc team luôn thành công nhé,0,2024-11-24 05:53:31+00:00,2024-11-24 05:53:31+00:00,0,2024-11-24,2024,11,24,5,tuyệt vòi chúc team luôn thành công nhé,positive
